asymptote,mid,m,Tm,r2,Protein,species
0.14282569149307026,47.4675579234614,1371.8777646765059,48.029060006972365,0.9992101693659529,A0AVT1_UBA6,Homo sapiens K562 lysate
0.26332043029285895,46.72149664715575,850.8914356807693,48.738306735662825,0.9935634851587057,A0JNW5_UHRF1BP1L,Homo sapiens K562 lysate
0.23003892117511113,48.80556743264655,720.4018762353019,50.935743204962016,0.9751276071634372,A0MZ66_KIAA1598,Homo sapiens K562 lysate
0.06430762557370354,43.941689894369574,654.3993478728021,44.36003277355338,0.9947410973687782,A2A274_ACO2,Homo sapiens K562 lysate
0.23777717139418778,46.72004334794357,880.5938450161015,48.39582343739852,0.9763505420041095,A2A2Q9_AAR2,Homo sapiens K562 lysate
0.1517552060650172,45.859902719858326,3762.9047049157275,46.0859525374729,0.9501361329913437,A2IDC7_MRPL28,Homo sapiens K562 lysate
0.07366835343033575,56.75109247393147,888.8306575212968,57.34129225468345,0.9851598039233375,A3KFL1_EXOSC2,Homo sapiens K562 lysate
0.18887452778115443,48.37623621532504,1684.1873700929298,49.05043362437977,0.992535761042666,A3KN83-3_SBNO1,Homo sapiens K562 lysate
0.15318591744864463,44.44309961723663,673.3933840366353,45.5551753365605,0.9876215080036431,A4D1E9_GTPBP10,Homo sapiens K562 lysate
0.14448005742135145,48.252846034626195,1136.0176035421898,48.963637232042196,0.9975533326711511,A5YKK6-2_CNOT1,Homo sapiens K562 lysate
0.17571301193298658,47.32453449839347,818.1100312535228,48.55434359903835,0.992046077405189,A6H8Z3_RAB3GAP1,Homo sapiens K562 lysate
0.056306659243734895,48.48149443654767,482.2718899006956,49.07277712705401,0.9934546945062751,A6NDU8_C5orf51,Homo sapiens K562 lysate
0.1284212842728415,50.26951554680043,458.7025629225772,51.9609948934834,0.9796843201264228,A6NED2_RCCD1,Homo sapiens K562 lysate
0.3339746133581105,54.30184887730113,1605.4373067505744,56.440698088794136,0.9309617894892476,A6NHC7_TNNI3K,Homo sapiens K562 lysate
0.365372877565373,47.54555906478257,790.723059389801,51.642266946833374,0.9574775401224951,A6NHM7_ARHGAP22,Homo sapiens K562 lysate
0.10127097439227438,42.19197551363068,1087.2879973908261,42.578780011458754,0.9915460396680323,A6NHR9_SMCHD1,Homo sapiens K562 lysate
0.17708777098573059,50.460959191966154,933.4310192059027,51.694042035749256,0.985178512763141,A6NIH7_UNC119B,Homo sapiens K562 lysate
0.16922210762797438,45.72872290386206,675.2726353616692,47.04752972715049,0.9886100545783929,A6NIW2_DOCK11,Homo sapiens K562 lysate
0.3755353396910667,50.00978039705471,1279.7897467971577,52.89812302698789,0.9120957315013283,A6NIZ6_ASXL1,Homo sapiens K562 lysate
0.28425366546953135,48.92198695788296,524.25583042173,53.090228975693364,0.9285528785081292,A6NK88_CDKN1C,Homo sapiens K562 lysate
0.09556862361530455,52.65522304230417,628.8686598995768,53.61435068390426,0.9759501703823811,A6NKZ2_RENBP,Homo sapiens K562 lysate
0.1799567452812496,48.34058717318384,656.5145553613648,49.9833106734143,0.9858035736568264,A6NMH6_SEPT8,Homo sapiens K562 lysate
