Protein,species,asymptote,mid,m,Tm,r2,ogt,organism
A0AV96,Homo sapiens K562 cell,0.18163287854232368,48.75672435564078,806.0700507065901,50.13212170527677,0.9932599721647825,37,Homo sapiens
A0AVF1,Homo sapiens K562 cell,8.305001657661049e-23,48.044873728565975,579.5623866210509,48.045966331068655,0.985424550565152,37,Homo sapiens
A0AVT1,Homo sapiens K562 cell,0.05815005902155798,49.56033315117449,1519.1550701873832,49.76510178577406,0.9994818500089409,37,Homo sapiens
A0FGR8,Homo sapiens K562 cell,0.1552351202173662,49.244221204966884,743.6926297153093,50.498642390237926,0.995781365065152,37,Homo sapiens
A0JLT2,Homo sapiens K562 cell,0.2159812413246103,50.08055015208611,1135.4536381264402,51.38085131249714,0.9908156140811093,37,Homo sapiens
A0JNW5,Homo sapiens K562 cell,0.1497177316049802,51.93043060004755,1303.8402702712053,52.68876697905022,0.9950736999049918,37,Homo sapiens
A0MZ66,Homo sapiens K562 cell,0.11668835066000974,48.45514754394822,1199.6804260056604,48.98153012456662,0.9966996256264086,37,Homo sapiens
A1A4S6,Homo sapiens K562 cell,0.051023228951844246,45.4333181871016,632.60202968208,45.79154213086934,0.9899582863230911,37,Homo sapiens
A1A5D9,Homo sapiens K562 cell,0.32239898585076676,50.244105700559125,1177.8638771848935,52.593992867998566,0.9451455254466883,37,Homo sapiens
A1L020,Homo sapiens K562 cell,0.2141460899385533,50.62223746298899,1267.6666420301265,51.790927422341326,0.9904125630027526,37,Homo sapiens
A1L188,Homo sapiens K562 cell,0.4595179611449435,54.15164419485099,1862.6175661088946,58.48246050746216,0.9231567853779117,37,Homo sapiens
A1X283,Homo sapiens K562 cell,0.08068878882668815,47.902544339830676,1566.618078137095,48.171909181488004,0.9958453370719381,37,Homo sapiens
A2A274,Homo sapiens K562 cell,0.0686372432829637,50.506956078818796,1841.7102291064095,50.71794185587952,0.9987597483065057,37,Homo sapiens
A2A2Q9,Homo sapiens K562 cell,0.03560117846214408,48.820426101731265,761.9308077716067,49.054254774641656,0.9923782685693153,37,Homo sapiens
A2A2Y4,Homo sapiens K562 cell,0.1251157724558771,46.084448293823854,1273.492916935482,46.58421640986525,0.9926808046850172,37,Homo sapiens
A2A3N6,Homo sapiens K562 cell,0.18061010565487662,51.81352318784578,1538.9231675653705,52.625065624122264,0.9981408884900572,37,Homo sapiens
A2ABF8,Homo sapiens K562 cell,0.06010997420796182,48.94916057813621,539.0863428617462,49.53186322758899,0.9774903094459387,37,Homo sapiens
A2ABF9,Homo sapiens K562 cell,0.15884844724391506,49.21431814555333,827.8560960752712,50.370961190814995,0.9959277917051934,37,Homo sapiens
A2AJT9,Homo sapiens K562 cell,0.17740657749302582,50.85236669267856,1081.9794346034294,51.92541707563918,0.9928459447419385,37,Homo sapiens
A2RRP1,Homo sapiens K562 cell,0.09496359975529399,48.351488296499696,1220.6510250389413,48.76485406260334,0.9069770272566043,37,Homo sapiens
A2RTX5,Homo sapiens K562 cell,0.0916230638009799,50.99229780820408,1230.7848938129441,51.43463145320861,0.9501743192957686,37,Homo sapiens
A2RUC4,Homo sapiens K562 cell,0.11448981253649908,52.35899268013963,1546.035853817805,52.82967670758417,0.9989024972977447,37,Homo sapiens
A2RUR9,Homo sapiens K562 cell,0.1201192131242988,48.99356793440742,1881.3186940526139,49.36632649131529,0.9385383753221335,37,Homo sapiens
A2VCL2,Homo sapiens K562 cell,0.29118718796891646,53.795710173568864,2022.2448272858296,55.087856131194805,0.9440091908391995,37,Homo sapiens
A2VDF0,Homo sapiens K562 cell,0.37917088504302887,53.07843044695242,1396.2940005438188,56.123490659933516,0.9919525120734957,37,Homo sapiens
A3KMH1,Homo sapiens K562 cell,0.1341625372773364,49.23343543462223,849.8732243189473,50.1473022633728,0.9952761738526615,37,Homo sapiens
A3KN83,Homo sapiens K562 cell,0.045160465445892334,50.15799218165002,1448.759005451777,50.33223244687086,0.9976573343911729,37,Homo sapiens
A4D104,Homo sapiens K562 cell,0.30320812655528306,51.6914571609714,1694.4643065112034,53.23187549761265,0.9862018130707152,37,Homo sapiens
A4D1E1,Homo sapiens K562 cell,0.1840041266705256,49.776054712644886,838.0252066292499,51.17941135513051,0.9680109876658232,37,Homo sapiens
A4D1E9,Homo sapiens K562 cell,0.10357099665832614,48.295655523203905,1098.023855168476,48.79976846964693,0.9913166294676812,37,Homo sapiens
A4D1F6,Homo sapiens K562 cell,0.25072072313448673,50.664668336015396,1285.0843030011592,52.10384996879031,0.9976222156359669,37,Homo sapiens
A4D1P6,Homo sapiens K562 cell,0.12310308778803324,48.20093026898638,1053.9412772920398,48.83778547246634,0.9960151466848913,37,Homo sapiens
A4D212,Homo sapiens K562 cell,0.019673829562256877,47.35989066847879,534.702076347531,47.53463560642174,0.991904077397753,37,Homo sapiens
A4D2H0,Homo sapiens K562 cell,0.05301333631318303,47.88081968358808,2022.7893191601358,48.00904947364563,0.9959478504280838,37,Homo sapiens
A4D2P6,Homo sapiens K562 cell,0.17655216250274272,50.388937290802765,1739.7600430155217,51.036696987436706,0.9651293255613652,37,Homo sapiens
A4GXA9,Homo sapiens K562 cell,0.18061265401556156,52.029824941745616,1248.626659049178,53.02168844403553,0.9441854297045906,37,Homo sapiens
A5D8V6,Homo sapiens K562 cell,0.1010864262894764,49.80464069937586,1207.9295830835913,50.28373330466935,0.9987280755306752,37,Homo sapiens
A5PL33,Homo sapiens K562 cell,0.023455955001796765,48.53208144211421,397.84626503879366,48.82133617614656,0.9719581404637939,37,Homo sapiens
A5YKK6,Homo sapiens K562 cell,0.05707436953542065,48.82886685069261,1011.3077466511556,49.120826164574794,0.9971328558799187,37,Homo sapiens
A6NCE7,Homo sapiens K562 cell,0.1277758734845057,52.11969969058492,1559.2166590184186,52.65105949415818,0.9926648711338442,37,Homo sapiens
A6NCM1,Homo sapiens K562 cell,0.11464305483088195,50.2078581854328,1095.4231906549608,50.82009400666023,0.9417922116584814,37,Homo sapiens
A6NDK9,Homo sapiens K562 cell,0.15580282732789386,53.47458387738729,1268.3676062451702,54.343783978713155,0.9277217309173856,37,Homo sapiens
A6NDU8,Homo sapiens K562 cell,0.0518803035524994,48.64548810954713,1512.8305521677462,48.819862174377455,0.9928536776319823,37,Homo sapiens
A6NE01,Homo sapiens K562 cell,0.3909807078207894,52.93051051084811,1681.669972883642,55.64067446139734,0.9808950335304584,37,Homo sapiens
A6NE52,Homo sapiens K562 cell,0.28913595348356297,53.09674823774157,1578.5020463525138,54.710033122126795,0.9789643596754343,37,Homo sapiens
A6NED2,Homo sapiens K562 cell,0.12085473211067538,52.33114115919428,1543.7302248924568,52.83235160991589,0.9975102384734567,37,Homo sapiens
A6NEM2,Homo sapiens K562 cell,0.10286587023505642,51.34353865640206,1037.5255605723207,51.93735409261296,0.9946266344190963,37,Homo sapiens
A6NEQ2,Homo sapiens K562 cell,0.47455836078381963,52.87521162317672,943.5710463616381,63.4976737553448,0.9527248307553825,37,Homo sapiens
A6NFD8,Homo sapiens K562 cell,0.40425872602503504,51.346615816300215,1047.051865458037,55.88942853618851,0.9943411883197409,37,Homo sapiens
A6NFI3,Homo sapiens K562 cell,0.07979287017023097,48.27421530320834,822.0457865883707,48.77743688628236,0.997453229055086,37,Homo sapiens
A6NFM0,Homo sapiens K562 cell,0.16826188410437387,48.81439857223602,919.5221247585977,49.90550015482111,0.9948070930117329,37,Homo sapiens
A6NFQ2,Homo sapiens K562 cell,0.12148939388331982,46.85406002756238,903.7610936835707,47.55189853721534,0.9943798585053526,37,Homo sapiens
A6NFV8,Homo sapiens K562 cell,0.24166933814624622,53.41994310355587,1602.3484523347634,54.645366404051146,0.9707393694145983,37,Homo sapiens
A6NFY7,Homo sapiens K562 cell,0.14290899445519392,51.94160779754166,2083.489703032385,52.402993991021624,0.9817643608374902,37,Homo sapiens
A6NH21,Homo sapiens K562 cell,0.02921877267138957,48.75599834268641,608.5622926812543,48.99249009179977,0.9786974381500382,37,Homo sapiens
A6NHB5,Homo sapiens K562 cell,0.21835505448395556,47.787233794325196,631.5125282491791,49.95905149081275,0.9840092857910487,37,Homo sapiens
A6NHL2,Homo sapiens K562 cell,0.17272414612535752,52.46410806227015,1068.7037600030894,53.59235198973664,0.9852845651941944,37,Homo sapiens
A6NHR9,Homo sapiens K562 cell,0.08434267746674567,46.02419282961616,888.5223151853664,46.47912462400987,0.9892203091823274,37,Homo sapiens
A6NHX0,Homo sapiens K562 cell,0.44134616619675127,52.41307902361276,1638.8362615754527,56.31510139350037,0.9932977395725776,37,Homo sapiens
A6NHY2,Homo sapiens K562 cell,0.2297168832361093,54.264042614280406,1462.1826924149611,55.55343608181004,0.9645126393905789,37,Homo sapiens
A6NIH7,Homo sapiens K562 cell,0.11928643279037665,48.670286728167,1059.6788778373968,49.29881043547614,0.998002785002408,37,Homo sapiens
A6NIW2,Homo sapiens K562 cell,0.12321214687623878,49.345262904869905,965.285067144299,50.07313226335195,0.9960923924352265,37,Homo sapiens
A6NJ78,Homo sapiens K562 cell,0.11522989308910657,47.108679245231116,1023.9454934174621,47.69284626884293,0.9950389072257855,37,Homo sapiens
A6NJZ7,Homo sapiens K562 cell,0.2639413568802402,52.109546717955205,4050.291936750098,52.67183346236856,0.9630283007394799,37,Homo sapiens
A6NK02,Homo sapiens K562 cell,0.28947427292302935,52.59398739506067,1799.621187279596,53.96264337873258,0.9558223028492043,37,Homo sapiens
A6NK58,Homo sapiens K562 cell,0.323511764494345,53.420604815746124,1579.4042134004294,55.4049585751403,0.9885363037878626,37,Homo sapiens
A6NKC9,Homo sapiens K562 cell,2.852460709060249e-27,49.641774172499815,1421.6275424508776,49.644545135276445,0.9651719624539068,37,Homo sapiens
A6NKD9,Homo sapiens K562 cell,0.1301286713782443,49.219328723036114,751.2131439316638,50.218770877034586,0.99017151374779,37,Homo sapiens
A6NKF1,Homo sapiens K562 cell,0.07528369701217152,47.874101068029496,1050.9281574711615,48.24120390853005,0.9904795733243811,37,Homo sapiens
A6NKG5,Homo sapiens K562 cell,0.041604429736897264,48.135032746508585,1659.898839784541,48.26726593648548,0.9929533617455254,37,Homo sapiens
A6NKL6,Homo sapiens K562 cell,0.04307804343002107,51.04856329251745,4836.282551484303,51.12096658805399,0.9428329889225316,37,Homo sapiens
A6NKP2,Homo sapiens K562 cell,0.07301694893940656,49.85317198757736,617.7713951658457,50.50379400145754,0.9683299929807072,37,Homo sapiens
