# POW= 1 EXPO= 6.00 C0= 3.50 KAPPA= 200.00
# f(r)= 200.00 (3.50/r)^6.00 if r< 4.50
# f(r)= 0 r>= 4.50
# f(r)= linear interpolation 4.50 < r < 4.50
2.00 5.74e+03
2.05 4.95e+03
2.10 4.29e+03
2.15 3.72e+03
2.20 3.24e+03
2.25 2.83e+03
2.30 2.48e+03
2.35 2.18e+03
2.40 1.92e+03
2.45 1.7e+03
2.50 1.51e+03
2.55 1.34e+03
2.60 1.19e+03
2.65 1.06e+03
2.70 949
2.75 850
2.80 763
2.85 686
2.90 618
2.95 558
3.00 504
3.05 457
3.10 414
3.15 376
3.20 342
3.25 312
3.30 285
3.35 260
3.40 238
3.45 218
3.50 200
3.55 184
3.60 169
3.65 155
3.70 143
3.75 132
3.80 122
3.85 113
3.90 104
3.95 96.8
4.00 89.8
4.05 83.3
4.10 77.4
4.15 72
4.20 67
4.25 62.4
4.30 58.2
4.35 54.3
4.40 50.7
4.45 47.3
